Ticker,Name,Sector,Industry,ROCE,ROCEAvg,DE,RevGrowth,EarnGrowth,CFOQuality,FCFMargin,GrossMargin,OpMargin,NetMargin,PE,PEMedian,EarnYield,BondYield,Price,EntryPrice,QualityPass,NetDebtEBITDA,FCFtoNI,FCFYield,Hurdle,FCFFloor,FCFFairValue,ImpliedGrowth,SustGrowth,ReverseDCF,RSI14,SMA200,PriceVsSma200,TechnicalReady,MktCap,Score,Verdict,Tags,ROCEHistory,DataQuality
CAMS.NS,Computer Age Management Services Limited,Technology,Information Technology Services,45.9%,42.8% (4yr),0.06x,16.1% (3yr),17.9% (3yr),1.09x,0.0%,65.5%,39.4%,31.4%,34.4x,44.4x,2.9%,7.0%,₹640.70,₹266.29,Y,-1.20x,0.00x (reinvesting),0.0%,10.0%,—,—,—,45.9%,—,40.2,₹758.14,below,Not yet,₹15899 Cr,93,STRONG PASS,"Elite ROCE, Consistent ROCE (4yr), Near Zero Debt, Strong Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 46%  |  2025: 45%  |  2024: 39%  |  2023: 39%  |  2022: 48%,✓ Filing 2025-03-31 (11mo old)
ANANDRATHI.NS,Anand Rathi Wealth Limited,Financial Services,Asset Management,67.6%,43.9% (4yr),0.10x,31.0% (3yr),33.2% (3yr),0.92x,0.0%,59.4%,45.4%,32.2%,68.0x,72.3x,1.5%,7.0%,₹3003.40,₹630.71,Y,-1.07x,0.00x (reinvesting),0.0%,10.0%,—,—,—,67.6%,—,41.2,₹2819.52,above,Not yet,₹24937 Cr,90,STRONG PASS,"Elite ROCE, Consistent ROCE (4yr), Near Zero Debt, Strong Growth, Below Historical P/E, Entry Quality Pass",TTM: 68%  |  2025: 49%  |  2024: 40%  |  2023: 44%  |  2022: 42%,✓ Filing 2025-03-31 (11mo old)
AKZOINDIA.NS,JSW Dulux Limited,Basic Materials,Specialty Chemicals,33.5%,32.0% (4yr),0.03x,9.4% (3yr),14.0% (3yr),0.95x,0.0%,41.3%,13.0%,52.0%,6.7x,33.7x,14.9%,7.0%,₹2885.10,₹6137.00,Y,-0.39x,0.00x (reinvesting),0.0%,10.0%,—,—,—,33.5%,—,46.7,₹3246.31,below,Not yet,₹13139 Cr,89,STRONG PASS,"High ROCE, Consistent ROCE (4yr), Near Zero Debt, Partial Growth, Cheap vs History + Bonds, Entry Quality Pass",TTM: 34%  |  2025: 37%  |  2024: 37%  |  2023: 30%  |  2022: 25%,✓ Filing 2025-03-31 (11mo old)
COLPAL.NS,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products,92.5%,86.1% (4yr),0.04x,5.8% (3yr),10.0% (3yr),1.10x,0.0%,68.8%,27.3%,22.5%,38.9x,53.9x,2.6%,7.0%,₹1896.10,₹696.14,Y,-0.69x,0.00x (reinvesting),0.0%,10.0%,—,—,—,92.5%,—,15.2,₹2218.56,below,Ready,₹51571 Cr,88,STRONG PASS,"Elite ROCE, Consistent ROCE (4yr), Near Zero Debt, Partial Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 93%  |  2025: 103%  |  2024: 88%  |  2023: 76%  |  2022: 76%,✓ Filing 2025-03-31 (11mo old)
IEX.NS,Indian Energy Exchange Limited,Financial Services,Capital Markets,51.0%,38.9% (4yr),0.00x,7.6% (3yr),11.5% (3yr),1.05x,0.0%,99.8%,83.7%,66.2%,22.3x,44.8x,4.5%,7.0%,₹120.53,₹77.14,Y,-2.25x,0.00x (reinvesting),0.0%,10.0%,—,—,—,51.0%,—,41.4,₹145.77,below,Not yet,₹10719 Cr,88,STRONG PASS,"Elite ROCE, Consistent ROCE (4yr), Near Zero Debt, Partial Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 51%  |  2025: 36%  |  2024: 35%  |  2023: 38%  |  2022: 47%,✓ Filing 2025-03-31 (11mo old)
NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,Packaged Foods,52.8%,57.2% (3yr),0.11x,17.0% (3yr),23.1% (3yr),1.03x,0.0%,54.6%,18.1%,14.9%,70.4x,77.0x,1.4%,7.0%,₹1193.60,₹242.14,Y,0.02x,0.00x (reinvesting),0.0%,10.0%,—,—,—,52.8%,—,19.4,₹1224.06,below,Ready,₹2.3L Cr,88,STRONG PASS,"Elite ROCE, Consistent ROCE (3yr), Low Debt, Strong Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 53%  |  2025: 57%  |  2022: 57%  |  2021: 58%,✓ Filing 2025-03-31 (11mo old)
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,61.6%,55.2% (4yr),0.09x,10.0% (3yr),8.2% (3yr),1.00x,13.8%,39.7%,25.2%,18.3%,18.1x,30.3x,5.5%,7.0%,₹2390.60,₹1885.14,Y,-0.67x,0.76x (reinvesting),4.4%,10.0%,₹1125  (10× FCF),₹3454 – ₹10110  (33× – 80× FCF),5.4%,15.0%,Buy,20.2,₹3032.18,below,Ready,₹8.6L Cr,88,STRONG PASS,"Elite ROCE, Consistent ROCE (4yr), Near Zero Debt, Partial Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 62%  |  2025: 58%  |  2024: 59%  |  2023: 54%  |  2022: 49%,✓ Filing 2025-03-31 (11mo old)
CDSL.NS,Central Depository Services (India) Limited,Financial Services,Capital Markets,34.5%,29.3% (4yr),0.00x,25.2% (3yr),19.2% (3yr),0.95x,0.0%,100.0%,51.9%,38.9%,52.4x,67.9x,1.9%,7.0%,₹1190.80,₹324.86,Y,-1.43x,0.00x (reinvesting),0.0%,10.0%,—,—,—,34.5%,—,37.8,₹1520.48,below,Not yet,₹24888 Cr,87,STRONG PASS,"High ROCE, Consistent ROCE (4yr), Near Zero Debt, Strong Growth, Below Historical P/E, Entry Quality Pass",TTM: 34%  |  2025: 31%  |  2024: 30%  |  2023: 24%  |  2022: 32%,✓ Filing 2025-03-31 (11mo old)
GILLETTE.NS,Gillette India Limited,Consumer Defensive,Household & Personal Products,82.9%,47.6% (4yr),0.00x,9.4% (3yr),9.9% (3yr),1.37x,0.0%,63.0%,28.9%,20.2%,48.8x,56.5x,2.0%,7.0%,₹8001.50,₹2343.29,Y,-0.65x,0.00x (reinvesting),0.0%,10.0%,—,—,—,82.9%,—,35.4,₹9098.21,below,Not yet,₹26073 Cr,86,STRONG PASS,"Elite ROCE, Consistent ROCE (4yr), Near Zero Debt, High Cash Quality, Below Historical P/E, Entry Quality Pass, ⚠ Stale Data",TTM: 83%  |  2024: 53%  |  2023: 43%  |  2022: 46%  |  2021: 49%,⚠ Filing 2024-06-30 (21mo old) — verify manually
KFINTECH.NS,KFin Technologies Limited,Technology,Software - Application,28.4%,25.9% (4yr),0.03x,20.0% (3yr),30.8% (3yr),1.26x,0.0%,62.0%,35.8%,27.7%,45.7x,56.1x,2.2%,7.0%,₹914.55,₹286.14,Y,-1.17x,0.00x (reinvesting),0.0%,10.0%,—,—,—,28.4%,—,41.7,₹1096.03,below,Not yet,₹15778 Cr,86,STRONG PASS,"Good ROCE, Consistent ROCE (4yr), Near Zero Debt, Strong Growth, High Cash Quality, Below Historical P/E, Entry Quality Pass",TTM: 28%  |  2025: 27%  |  2024: 25%  |  2023: 25%  |  2022: 27%,✓ Filing 2025-03-31 (11mo old)
